userid,content,time
goldrush71#7888,!meat qb,2023-06-03 05:18:16.480000+00:00
goldrush71#7888,!meat qb,2023-06-03 05:35:24.503000+00:00
goldrush71#7888,now this is something special!,2023-06-03 05:36:57.019000+00:00
goldrush71#7888,testing 3,2023-06-03 05:41:08.302000+00:00
arama but more gay#3724,!meat qb.add,2023-06-03 18:21:46.712000+00:00
goldrush71#7888,",willthisbreakit,",2023-06-03 18:56:24.406000+00:00
goldrush71#7888,t,2023-06-03 20:55:45.604000+00:00
P-bibble#7249,!meat qb.random,2023-06-03 19:01:51.114000+00:00
goldrush71#7888,dnajdirnsjfnso,2023-06-03 20:57:40.586000+00:00
goldrush71#7888,sjakaplckfkdjwnsndjfbwb,2023-06-03 20:57:50.375000+00:00
